=== T2 ESCUCHANDO (esperando a T1)... ===
[23:10:19] frame=1239 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:20] frame=1259 W=0.672 angZ=0.022 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:21] frame=1279 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:23] frame=1299 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:24] frame=1319 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:25] frame=1339 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:27] frame=1359 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:28] frame=1379 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:30] frame=1399 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:31] frame=1419 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:32] frame=1439 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:34] frame=1459 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:35] frame=1479 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:37] frame=1499 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:38] frame=1519 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:39] frame=1539 W=0.672 angZ=0.059 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:41] frame=1559 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:42] frame=1579 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:43] frame=1599 W=0.672 angZ=0.061 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:45] frame=1619 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:46] frame=1639 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:48] frame=1659 W=0.672 angZ=0.049 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:49] frame=1679 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:50] frame=1699 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:52] frame=1719 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:53] frame=1739 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
=== T2 DONE: recibidos 1742 ===
