CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
STALE,001,4JP3-STALE-001-6dbd,R2,wait_for_primary_restore,REC-AUTO,1005.89,,,,PASS
STALE,002,4JP3-STALE-002-54f8,R2,wait_for_primary_restore,REC-AUTO,1005.685,,,,PASS
STALE,003,4JP3-STALE-003-6d77,R2,wait_for_primary_restore,REC-AUTO,1005.513,,,,PASS
STALE,004,4JP3-STALE-004-bcf5,R2,,,3.693,,,,FAIL-VALIDATION_FAIL
STALE,005,4JP3-STALE-005-49f2,R2,,,3.833,,,,FAIL-VALIDATION_FAIL
STALE,006,4JP3-STALE-006-25c3,R2,,,3.729,,,,FAIL-VALIDATION_FAIL
STALE,007,4JP3-STALE-007-106a,R2,,,3.699,,,,FAIL-VALIDATION_FAIL
STALE,008,4JP3-STALE-008-e145,R2,,,3.725,,,,FAIL-VALIDATION_FAIL
STALE,009,4JP3-STALE-009-7c2e,R2,,,3.765,,,,FAIL-VALIDATION_FAIL
STALE,010,4JP3-STALE-010-d2ca,R2,,,4.226,,,,FAIL-VALIDATION_FAIL
